IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.33.40,2095,2095,false,HKG,Asia Pacific,Hong Kong,34,23.30
47.243.169.63,2096,2096,true,HKG,Asia Pacific,Hong Kong,41,22.97
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,38,20.81
8.210.39.96,2053,2053,true,HKG,Asia Pacific,Hong Kong,45,18.87
8.210.42.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,38,18.58
8.218.65.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,43,18.06
8.218.74.119,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,17.99
8.210.101.157,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,17.97
8.210.3.24,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,17.66
8.210.244.38,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,17.06
8.210.101.157,8880,8880,false,HKG,Asia Pacific,Hong Kong,43,16.61
8.217.127.73,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,16.55
47.243.91.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,43,16.43
8.210.65.1,2096,2096,true,HKG,Asia Pacific,Hong Kong,31,16.31
8.210.146.108,80,80,false,HKG,Asia Pacific,Hong Kong,38,16.14
47.243.203.119,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,16.09
8.218.85.128,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,16.07
8.218.173.78,8443,8443,true,HKG,Asia Pacific,Hong Kong,41,15.95
47.243.255.224,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,15.85
8.210.55.134,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,15.67
8.218.81.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,43,15.62
8.217.49.34,8880,8880,false,HKG,Asia Pacific,Hong Kong,39,15.49
47.242.234.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,39,15.28
47.242.252.237,80,80,false,HKG,Asia Pacific,Hong Kong,45,15.26
8.217.250.222,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,15.26
47.243.107.148,8080,8080,false,HKG,Asia Pacific,Hong Kong,35,15.21
8.218.136.25,2082,2082,false,HKG,Asia Pacific,Hong Kong,43,14.92
8.217.207.60,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,14.82
8.210.245.224,2052,2052,false,HKG,Asia Pacific,Hong Kong,49,14.76
8.210.156.6,2087,2087,true,HKG,Asia Pacific,Hong Kong,36,14.66
47.243.206.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,37,14.57
8.210.65.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,37,14.54
47.243.74.220,2053,2053,true,HKG,Asia Pacific,Hong Kong,41,14.45
47.242.17.250,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,14.38
47.243.255.224,2053,2053,true,HKG,Asia Pacific,Hong Kong,45,14.35
47.243.107.148,2082,2082,false,HKG,Asia Pacific,Hong Kong,34,14.30
8.210.245.224,2086,2086,false,HKG,Asia Pacific,Hong Kong,46,14.27
8.218.48.92,2086,2086,false,HKG,Asia Pacific,Hong Kong,36,14.26
47.243.234.9,80,80,false,HKG,Asia Pacific,Hong Kong,40,14.19
8.210.146.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,14.18
8.210.175.109,2082,2082,false,HKG,Asia Pacific,Hong Kong,36,14.16
8.217.121.207,80,80,false,HKG,Asia Pacific,Hong Kong,42,14.12
